,RMSD_6eqe_PET-tetramer_1
1005,0.2886163
1006,0.30014387
1007,0.28794724
1008,0.28410283
1009,0.2927709
1010,0.29067153
1011,0.2970724
1012,0.29811975
1013,0.31991085
1014,0.30379188
1015,0.28363615
1016,0.2900672
1017,0.28885388
1018,0.28236967
1019,0.29629412
1020,0.29318064
1021,0.30157226
1022,0.3037608
1023,0.29371512
1024,0.29892656
1025,0.2910475
1026,0.29217857
1027,0.2898949
1028,0.29474825
1029,0.2945382
1030,0.27920508
1031,0.2756519
1032,0.2912123
1033,0.2856863
1034,0.29362965
1035,0.29040205
1036,0.29717278
1037,0.29548016
1038,0.2864457
1039,0.28245857
1040,0.29184064
1041,0.29102874
1042,0.29364657
1043,0.29004663
1044,0.29434997
1045,0.29674593
1046,0.3023674
1047,0.3064913
1048,0.29947317
1049,0.30769724
1050,0.2977009
1051,0.29906288
1052,0.29632014
1053,0.2972464
1054,0.3022967
1055,0.29643503
1056,0.2915714
1057,0.2969854
1058,0.30925474
1059,0.31532115
1060,0.31085482
1061,0.30768272
1062,0.30333173
1063,0.30703738
1064,0.30063784
1065,0.30407074
1066,0.29729822
1067,0.29942086
1068,0.29275307
1069,0.29508284
1070,0.30491805
1071,0.30711266
1072,0.29498512
1073,0.30339155
1074,0.29817727
1075,0.3051071
1076,0.29738098
1077,0.29995912
1078,0.29423594
1079,0.2951123
1080,0.2967451
1081,0.2882906
1082,0.302096
1083,0.29995832
1084,0.2937109
1085,0.29225937
1086,0.29476595
1087,0.2877737
1088,0.3052887
1089,0.28958008
1090,0.29384965
1091,0.2977869
1092,0.30100387
1093,0.2963696
1094,0.30709
1095,0.30026639
1096,0.2970381
1097,0.2948899
1098,0.29781863
1099,0.29585338
1100,0.30039716
1101,0.29982653
1102,0.2942883
1103,0.30688435
1104,0.30784664
1105,0.3053563
1106,0.30422193
1107,0.3055475
1108,0.30305874
1109,0.305589
1110,0.2938843
1111,0.27982843
1112,0.29702473
1113,0.30129853
1114,0.30313253
1115,0.30071968
1116,0.29882842
1117,0.30201948
1118,0.30223995
1119,0.29317728
1120,0.30805004
1121,0.3063891
1122,0.30314484
1123,0.3058394
1124,0.29560545
1125,0.29035923
1126,0.3040879
1127,0.30157804
1128,0.3006519
1129,0.31247455
1130,0.3069127
1131,0.2979588
1132,0.30410427
1133,0.2995346
1134,0.29532784
1135,0.28960583
1136,0.30540675
1137,0.29487723
1138,0.29186365
1139,0.29633188
1140,0.29665127
1141,0.3025334
1142,0.30531964
1143,0.29782864
1144,0.29360086
1145,0.2933849
1146,0.29445043
1147,0.29429927
1148,0.2944808
1149,0.3014956
1150,0.30177084
1151,0.30104846
1152,0.30187294
1153,0.291666
1154,0.30068082
1155,0.30136698
1156,0.3045755
1157,0.30621868
1158,0.30257037
1159,0.30748796
1160,0.3024997
1161,0.30600595
1162,0.31061646
1163,0.30733192
1164,0.29814476
1165,0.2987752
1166,0.30375504
1167,0.2954978
1168,0.2983023
1169,0.2998829
1170,0.3029677
1171,0.2987519
1172,0.30184495
1173,0.30026224
1174,0.29270467
1175,0.301728
1176,0.3121594
1177,0.30683982
1178,0.31864113
1179,0.3060214
1180,0.30087748
1181,0.29520074
1182,0.29694942
1183,0.30825332
1184,0.30854505
1185,0.30365112
1186,0.29614058
1187,0.30427584
1188,0.295034
1189,0.29286343
1190,0.2933239
1191,0.30218074
1192,0.31698707
1193,0.30597588
1194,0.30253175
1195,0.2991626
1196,0.29331118
1197,0.3112184
1198,0.3056215
1199,0.31690472
1200,0.31033465
1201,0.31888598
1202,0.31431612
1203,0.30444816
1204,0.3040683
1205,0.30242327
1206,0.29140002
1207,0.28074715
1208,0.2876726
1209,0.2854182
1210,0.27816248
1211,0.27621308
1212,0.2720925
1213,0.27895573
1214,0.28499117
1215,0.28302294
1216,0.28641444
1217,0.269435
1218,0.28388053
1219,0.2622119
1220,0.28028816
1221,0.28590286
1222,0.27141476
1223,0.27500552
1224,0.27712762
1225,0.27715722
1226,0.28155252
1227,0.27226236
1228,0.27453062
1229,0.28044155
1230,0.28649256
1231,0.28010455
1232,0.2816346
1233,0.2845801
1234,0.2763597
1235,0.28162667
1236,0.2917001
1237,0.28466308
1238,0.28396633
1239,0.28071174
1240,0.2818816
1241,0.28659663
1242,0.2814333
1243,0.278049
1244,0.28595674
1245,0.2880206
1246,0.28833714
1247,0.29549947
1248,0.29620603
1249,0.30053943
1250,0.29917672
1251,0.3041484
1252,0.3112352
1253,0.30483326
1254,0.31283626
1255,0.30882207
1256,0.30777156
1257,0.3134403
1258,0.32037747
1259,0.31733972
1260,0.30948934
1261,0.31644243
1262,0.3231814
1263,0.32554
1264,0.30870292
1265,0.3219014
1266,0.3249164
1267,0.32494086
1268,0.32054266
1269,0.32335976
1270,0.3162507
1271,0.31714463
1272,0.3112959
1273,0.3101464
1274,0.31998387
1275,0.3133967
1276,0.30449063
1277,0.3205225
1278,0.31307214
1279,0.30951104
1280,0.3198114
1281,0.30456814
1282,0.2842288
1283,0.27923003
1284,0.27735892
1285,0.2679067
1286,0.28670937
1287,0.27530542
1288,0.27834293
1289,0.27856073
1290,0.29207817
1291,0.2816152
1292,0.28359672
1293,0.27598262
1294,0.27783886
1295,0.27472338
1296,0.27306363
1297,0.27589163
1298,0.2807808
1299,0.27164727
1300,0.26659998
1301,0.27408573
1302,0.27339384
1303,0.26281783
1304,0.26432008
1305,0.26642373
1306,0.2675019
1307,0.26540208
1308,0.27267376
1309,0.27970317
1310,0.27744493
1311,0.281849
1312,0.2788702
1313,0.27935907
1314,0.28101262
1315,0.28092682
1316,0.27855805
1317,0.27508867
1318,1.0473346
1319,0.26646477
1320,0.2756429
1321,0.27316192
1322,0.2735765
1323,0.2759394
1324,0.2704322
1325,0.27208427
1326,0.27236092
1327,0.266238
1328,0.26621374
1329,0.27250963
1330,0.26990688
1331,0.2689077
1332,0.2665935
1333,0.266778
1334,0.26671836
1335,0.27428788
1336,0.26982582
1337,0.26720345
1338,0.2686562
1339,0.28070554
1340,0.26942575
1341,0.27366826
1342,0.26796696
1343,0.27348748
1344,0.26252925
1345,0.2698378
1346,0.25773942
1347,0.26167482
1348,0.27147335
1349,0.26821822
1350,1.079569
1351,1.0619967
1352,1.051686
1353,1.0605727
1354,1.0622768
1355,1.0665598
1356,1.0683802
1357,1.0578402
1358,1.0522351
1359,1.0547204
1360,1.0489603
1361,1.0530319
1362,1.0423776
1363,1.0457765
1364,1.0449339
1365,1.0286658
1366,1.040462
1367,1.0453681
1368,1.0302733
1369,1.0329982
1370,1.0336363
1371,1.0392345
1372,1.0370436
1373,1.0417244
1374,1.0324252
1375,1.0355461
1376,1.0411894
1377,1.0336245
1378,1.02268
1379,1.0208191
1380,1.0193932
1381,1.0305656
1382,1.0245087
1383,1.0438825
1384,1.0568585
1385,1.0397915
1386,1.0428557
1387,1.0592142
1388,1.0477179
1389,1.0565927
1390,1.0454785
1391,1.0341636
1392,1.0458274
1393,1.0508549
1394,1.0382842
1395,1.0405736
1396,1.0493668
1397,1.042913
1398,1.0464661
1399,1.0405585
1400,1.0373399
1401,1.0494674
1402,1.0418984
1403,1.0382863
1404,1.0469246
1405,0.27729082
1406,0.2664685
1407,0.27912676
1408,1.0373298
1409,1.0631918
1410,1.0541422
1411,1.0358192
1412,1.0304925
1413,1.0400082
1414,1.043021
1415,0.24765058
1416,1.031434
1417,0.24485675
1418,1.0187266
1419,0.24888699
1420,0.26282352
1421,0.25978443
1422,0.27117196
1423,0.2589699
1424,0.25276846
1425,0.251017
1426,0.26105192
1427,0.25635862
1428,0.2515699
1429,0.26938793
1430,0.25306916
1431,0.24528778
1432,0.24897386
1433,0.24644025
1434,0.25062558
1435,0.250915
1436,0.25231966
1437,0.24975531
1438,1.0444971
1439,1.0490769
1440,0.254543
1441,0.2512951
1442,0.2510982
1443,0.2462011
1444,0.25691745
1445,0.25993842
1446,0.25745285
1447,0.25191447
1448,0.2484762
1449,0.2531546
1450,0.25325572
1451,0.26004645
1452,0.25333127
1453,0.25317523
1454,0.24548326
1455,0.2562025
1456,0.25650498
1457,0.2514523
1458,0.24291632
1459,0.24857421
1460,0.25688553
1461,0.2588835
1462,0.24530905
1463,1.0011027
1464,1.0089005
1465,0.2546231
1466,0.25549915
1467,0.25974137
1468,0.2605716
1469,0.250443
1470,1.0249908
1471,1.0265019
1472,1.0292772
1473,0.26698104
1474,0.27503175
1475,0.2727157
1476,1.0266296
1477,0.2764074
1478,1.027635
1479,0.2806276
1480,0.27688265
1481,0.27720025
1482,0.2739533
1483,0.27805704
1484,0.26937038
1485,0.26919317
1486,0.26982123
1487,0.2618391
1488,0.27337748
1489,1.0028384
1490,1.0181111
1491,1.0023247
1492,1.0128332
1493,1.0119381
1494,1.0154798
1495,1.0073603
1496,1.0327915
1497,1.0220752
1498,1.4454436
1499,1.4240322
1500,1.038024
1501,1.4410088
1502,1.4307053
1503,1.4361184
1504,1.4466395
1505,1.4294597
1506,1.4342725
1507,1.0245795
1508,1.4314727
1509,1.033684
1510,1.0266068
1511,1.0321851
1512,1.0313138
1513,1.0286745
1514,1.0338337
1515,1.0266017
1516,1.0424279
1517,1.0396093
1518,1.0351398
1519,1.0300457
1520,1.0184982
1521,1.0313681
1522,1.0273668
1523,1.0287035
1524,1.0344697
1525,1.0329051
1526,1.0287869
1527,1.0275873
1528,1.0258005
1529,1.0369185
1530,1.0278908
1531,1.0194669
1532,1.033864
1533,1.0291692
1534,1.0338295
1535,1.0374898
1536,1.0341083
1537,1.0339501
1538,1.0202311
1539,1.0285077
1540,1.0322757
1541,1.0301129
1542,1.0343356
1543,1.0324408
1544,1.0308582
1545,1.034523
1546,1.0309232
1547,1.0309893
1548,1.0352755
1549,1.0197749
1550,1.0289685
1551,1.0261028
1552,1.0185578
1553,1.0156617
1554,1.0281351
1555,1.0396124
1556,1.0341436
1557,1.0343083
1558,1.0493973
1559,1.0368611
1560,1.0268496
1561,1.027284
1562,1.0357922
1563,1.0300872
1564,1.0337672
1565,1.0432409
1566,0.29243195
1567,1.0405028
1568,1.0291755
1569,1.0340943
1570,1.0397305
1571,1.0406595
1572,1.0372931
1573,1.0292071
1574,1.0203741
1575,1.0337006
1576,1.0356584
1577,0.2855575
1578,0.2880991
1579,0.30222598
1580,0.30418107
1581,0.29014343
1582,0.2892563
1583,0.29096723
1584,0.28858873
1585,1.0067822
1586,0.29999146
1587,0.28882635
1588,0.2823107
1589,0.98863626
1590,0.28255358
1591,0.27739835
1592,0.2868541
1593,0.28846383
1594,0.30022252
1595,0.31001094
1596,0.31695414
1597,0.29506767
1598,0.30094028
1599,0.29403904
1600,0.3004559
1601,0.30789268
1602,0.2969268
1603,0.29266986
1604,0.29853466
1605,0.29227382
1606,0.29530343
1607,0.30972216
1608,0.28666428
1609,0.28604713
1610,0.29309756
1611,0.2972974
1612,0.3015533
1613,0.29495478
1614,0.291666
1615,0.9459635
1616,0.9518202
1617,0.9537417
1618,0.95728284
1619,0.9531299
1620,0.9507432
1621,0.9495328
1622,0.9436735
1623,0.2773356
1624,0.28074625
1625,0.27641636
1626,0.279092
1627,0.27259353
1628,0.26851088
1629,0.94632995
1630,0.9367873
1631,0.2692744
1632,0.27300718
1633,0.94927937
1634,0.27406758
1635,0.27051306
1636,0.27281502
1637,0.9464899
1638,0.94656867
1639,0.94189
1640,0.9462254
1641,0.9427815
1642,0.94733775
1643,0.9415862
1644,0.2803458
1645,0.94911724
1646,0.2828745
1647,0.27788088
1648,0.28255272
1649,0.9459217
1650,0.288056
1651,0.94734293
1652,0.94623643
1653,0.94257504
1654,0.9436545
1655,0.9511666
1656,0.9458578
1657,0.94449806
1658,0.9401451
1659,0.94088084
1660,0.94400525
1661,0.9404766
1662,0.9405051
1663,0.9446054
1664,0.94235665
1665,0.9434859
