#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1150000,2299.999999959436,-820382.2582703582,66175.28282446158,-754206.9754458966,149.1745157048479,499.7176681520525,1.059006215251978
1200000,2399.9999999570714,-821315.6361173694,66516.15313719251,-754799.4829801769,149.94291686083056,499.2763523903872,1.059942282286306
1250000,2499.9999999547067,-820906.2042516037,66115.90067140336,-754790.3035802003,149.04065448739803,498.63763891100785,1.0612999804828136
1300000,2599.999999952342,-822368.3875681595,66704.36589664195,-755664.0216715175,150.3671923008739,498.32013376443757,1.0619761887734815
1350000,2699.9999999499773,-822480.5933936168,66659.18875968465,-755821.4046339322,150.2653525014973,498.81857048469277,1.0609150255373032
1400000,2799.9999999476127,-823034.0854796921,67038.13007939953,-755995.9554002925,151.11957458316138,498.19559876756256,1.0622416531848038
1450000,2899.999999945248,-823186.3858633633,66630.9796920944,-756555.4061712689,150.20176268643866,499.07906133970715,1.0603612882970392
1500000,2999.9999999428833,-823701.5304016685,66460.62113445374,-757240.9092672148,149.81773477983137,498.22794052479423,1.062172699280628
1550000,3099.9999999405186,-805514.192909739,78397.73051737656,-727116.4623923624,176.7267623670179,497.0465079413554,1.0646973834220914
1600000,3199.999999938154,-803538.3274206561,77304.03879896592,-726234.2886216901,174.26132624856427,494.68879479080493,1.069771787873303
1650000,3299.999999935789,-803470.254158712,78118.33464990743,-725351.9195088046,176.09693894291252,494.00314800507766,1.0712565670508833
1700000,3399.9999999334245,-803194.4086510926,78041.13099052488,-725153.2776605677,175.9229038952712,492.334550967689,1.0748872192782173
1750000,3499.99999993106,-802763.1917995266,77770.7429372975,-724992.448862229,175.31338618456394,491.8490201127935,1.0759482987744673
1800000,3599.999999928695,-803356.1174862264,77462.08939737668,-725894.0280888497,174.6176091455687,491.997597547862,1.0756233751583868
1850000,3699.9999999263305,-803580.5991479559,77773.07642628424,-725807.5227216716,175.31864641277366,491.0611902605125,1.0776744872945492
1900000,3799.999999923966,-802651.4197572628,77381.31697437371,-725270.102782889,174.43552927269928,490.9298092415765,1.077962890992098
1950000,3899.999999921601,-803108.4029829456,77475.08779148979,-725633.3151914558,174.64691055636746,490.15855744246807,1.0796590376908064
2000000,3999.9999999192364,-802834.8547650101,76958.67131388458,-725876.1834511255,173.48278741762536,490.73896533002676,1.0783821009370103
2050000,4099.999999917781,-777284.3723943233,88383.59368331521,-688900.7787110081,199.23722606424496,487.95693857852206,1.0845303644741378
2100000,4199.999999938153,-777782.945784437,88494.52359159541,-689288.4221928415,199.4872879398969,487.06631378529573,1.0865134817710427
2150000,4299.999999958526,-776684.1760347448,88541.05703580828,-688143.1189989366,199.5921851720394,487.16759248767914,1.0862876032905102
2200000,4399.999999978899,-776834.6497871527,89337.37090216004,-687497.2788849926,201.38726228077172,486.89543416596615,1.0868948018597793
2250000,4499.9999999992715,-778168.5185695114,88089.8890586913,-690078.62951082,198.57514736554467,487.30238776637555,1.0859871195582198
2300000,4600.000000019644,-777200.1295907088,88327.27204242809,-688872.8575482806,199.11026395476182,485.95029665894947,1.089008732133064
2350000,4700.000000040017,-777425.3213851871,88959.88174342748,-688465.4396417596,200.53631370852108,485.79567643147,1.0893553444766042
2400000,4800.0000000603895,-777719.6739601605,88463.45548303488,-689256.2184771256,199.41725317992956,486.8774027992688,1.0869350547008867
2450000,4900.000000080762,-778269.575706685,88975.37289109954,-689294.2028155854,200.57123436700653,487.47492321259483,1.0856027484586226
