,RMSD_6eqe_1
630,0.22918633
631,0.23248266
632,0.21731137
633,0.22009471
634,0.22302395
635,0.21470216
636,0.21372636
637,0.22088665
638,0.2263357
639,0.2239433
640,0.21473895
641,0.22254798
642,0.23240261
643,0.22207555
644,0.23590153
645,0.22819316
646,0.22534695
647,0.24564905
648,0.2376306
649,0.23531947
650,0.23753297
651,0.23566909
652,0.2118239
653,0.22915407
654,0.23038109
655,0.20747957
656,0.23515692
657,0.2338634
658,0.24416168
659,0.23471749
660,0.23317787
661,0.22923413
662,0.23941746
663,0.23512873
664,0.22005533
665,0.22983716
666,0.21682401
667,0.22284558
668,0.22938754
669,0.23262405
670,0.2274715
671,0.22254913
672,0.23203486
673,0.23082657
674,0.2338514
675,0.24448824
676,0.23389718
677,0.22387272
678,0.23037776
679,0.23814067
680,0.23054479
681,0.22752976
682,0.22883235
683,0.22371668
684,0.23363002
685,0.24338368
686,0.23560311
687,0.22346699
688,0.22078621
689,0.22544196
690,0.21837853
691,0.22728091
692,0.23396148
693,0.25277537
694,0.25209677
695,0.2511191
696,0.246157
697,0.2463247
698,0.2269251
699,0.23637328
700,0.2206303
701,0.23291644
702,0.24228881
703,0.23893787
704,0.23453714
705,0.22517948
706,0.23349905
707,0.22336203
708,0.22414242
709,0.22264074
710,0.21001953
711,0.2224735
712,0.21856172
713,0.233109
714,0.23645414
715,0.22377136
716,0.2200588
717,0.21015178
718,0.20897919
719,0.20655236
720,0.20011993
721,0.21078885
722,0.21011175
723,0.2154311
724,0.23197444
725,0.22235318
726,0.22960304
727,0.2301918
728,0.22970293
729,0.22305025
730,0.23090607
731,0.20910724
732,0.19451708
733,0.20695183
734,0.2037329
735,0.21792048
736,0.2090036
737,0.21488847
738,0.23600848
739,0.22242996
740,0.19964807
741,0.20322177
742,0.19673616
743,0.19996446
744,0.19713095
745,0.17849298
746,0.19533701
747,0.1940907
748,0.1972796
749,0.1940434
750,0.20339729
751,0.21306817
752,0.20005877
753,0.20070247
754,0.1911648
755,0.19995044
756,0.1997221
757,0.199574
758,0.19978592
759,0.20459938
760,0.20988111
761,0.22230501
762,0.201073
763,0.19594939
764,0.20981915
765,0.20914014
766,0.22849011
767,0.21998928
768,0.23545808
769,0.22956306
770,0.2173313
771,0.22911735
772,0.20392923
773,0.22985713
774,0.22405255
775,0.2371689
776,0.23652314
777,0.21659581
778,0.23184472
779,0.22915407
780,0.24650781
781,0.24714914
782,0.24407291
783,0.2383921
784,0.24621913
785,0.23800255
786,0.23463167
787,0.23109587
788,0.22174588
789,0.21709542
790,0.2283294
791,0.21003166
792,0.2227941
793,0.23354708
794,0.21370728
795,0.21247394
796,0.20606306
797,0.209385
798,0.20607544
799,0.20593809
800,0.22174932
801,0.21678169
802,0.20682615
803,0.19712707
804,0.2025156
805,0.19583878
806,0.19424824
807,0.20444234
808,0.20887914
809,0.19132076
810,0.19274509
811,0.18925509
812,0.21303467
813,0.21524405
814,0.2051046
815,0.20779999
816,0.20884497
817,0.21494895
818,0.195965
819,0.19949734
820,0.19980888
821,0.19270144
822,0.2010768
823,0.2095213
824,0.23008326
825,0.19946796
826,0.19757785
827,0.21792164
828,0.20706512
829,0.19953184
830,0.1953592
831,0.20439745
832,0.20348375
833,0.21590269
834,0.20470153
835,0.1913434
836,0.20157945
837,0.20499893
838,0.22518627
839,0.21511374
840,0.21934175
841,0.21506396
842,0.2219481
843,0.22608103
844,0.22133626
845,0.2357913
846,0.22968517
847,0.21989657
848,0.22579221
849,0.22611937
850,0.22672619
851,0.2271418
852,0.22181714
853,0.22628616
854,0.23618016
